"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"249",249,26.5740625,33,22.61,13.6296875,14.7,12.4,27.1740625,39.18,19.2,17.3566728159457,24.823,11.005
"250",250,26.3514236111111,35.4,22.6,14.3338541666667,15.4,13.3,26.5684143518519,40,18.53,17.7893593087362,24.75,11.27
"251",251,25.9898611111111,35.7,22.5,13.9536458333333,15,12.4,24.0675115740741,40.34,19.01,17.9284485793045,25.355,10.98
"252",252,25.1114583333333,34.3,22.5,13.8880208333333,15.1,12.9,24.0977314814815,39.12,18.82,18.3290576759966,25.162,9.81
"253",253,24.4131597222222,30.2,21.7,13.7125,14.6,12.8,23.6947222222222,33.99,15.7,17.2374379770992,25.598,8.419
"254",254,24.0766319444444,27.9,20.6,13.8229166666667,14.7,12.8,25.1637731481481,38.92,16.99,17.3148311068702,24.823,8.25
"255",255,24.7471686746988,32.6,20.7,14.2864583333333,15.5,13.4,26.5036666666667,45.75,17.8,17.236034351145,22.657,8.92
"256",256,25.2069444444444,34.1,20.3,14.2744791666667,15.8,13.2,25.9290138888889,42.71,17.03,15.1546486429177,22.87,-9999
"257",257,25.2154166666667,34.7,20.1,13.9401041666667,15.6,12.6,25.9598518518519,37.15,15.2,15.1000587362171,21.27,8.64
"258",258,25.3993055555556,34.5,19.8,13.8885416666667,14.6,12.9,26.4418935185185,37.87,18.79,15.7656845843936,22.537,7.52
"259",259,25.5744166666667,35.3,20,13.7244791666667,14.9,12.7,26.0754027777778,38.31,18.32,16.958411259542,25.21,8.37
"260",260,25.2975,35.1,19.8,13.4463541666667,15.1,12.1,26.3395416666667,38.17,18.56,17.228600826972,26.475,8.22
"261",261,25.3479722222222,35.2,19.8,13.6604166666667,15.9,12,26.7310555555556,39.32,18.77,17.926290394402,24.243,9.11
"262",262,25.8152222222222,35.2,20.5,13.8875,15.2,12.3,27.6786111111111,42.77,19.72,16.8608167938931,23.448,10.907
"263",263,26.1349166666667,34.9,21.3,13.8692708333333,15.2,12.7,27.8549814814815,40.34,19.06,16.6372906064461,22.42,8.17
"264",264,26.0558888888889,33.1,21.8,13.7104166666667,14.6,12.8,26.1403101851852,37.76,17.32,16.1201529898219,24.581,11.005
"265",265,25.3118333333333,29.3,22.2,13.6541666666667,15.1,12.7,25.0274074074074,36.77,16.44,15.3068675784563,24.388,7.47
"266",266,24.9685277777778,31.7,22.2,13.3953125,14.6,12.2,25.6456712962963,38.67,16.22,15.9658713952502,25.113,5.33
"267",267,25.0934722222222,32.9,21.6,13.1463541666667,15,11.8,26.6212175925926,38.09,13.5,16.8067440627651,24.726,3.2
"268",268,25.0672222222222,33.4,21.23,12.5203125,14.5,11.1,26.5201435185185,37.51,15.77,15.5308693808312,21.461,4.77
"269",269,24.8015277777778,32.7,21,12.3359375,14.7,10.3,25.8432083333333,36.52,16.06,14.9877365351993,19.841,6.41
"270",270,24.6011111111111,31.8,22,12.10625,15,9.6,24.2459907407407,36.66,15.75,14.5711010390161,20.817,4.43
